Object Name,Bounding Box,Area,Overlap Area,Percentage
Bia_Truc_Bach,"(743, 215), (976, 532)",73861,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(743, 215), (975, 533)",73776,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(743, 215), (974, 532)",73227,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(743, 214), (973, 532)",73140,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(743, 214), (973, 531)",72910,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(743, 213), (973, 531)",73140,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(743, 213), (972, 530)",72593,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(742, 211), (973, 529)",73458,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(742, 210), (973, 529)",73689,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(740, 210), (971, 529)",73689,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(738, 209), (969, 527)",73458,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(737, 208), (967, 528)",73600,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(734, 207), (965, 527)",73920,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(732, 206), (962, 525)",73370,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(726, 205), (960, 524)",74646,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(718, 203), (953, 523)",75200,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(714, 203), (951, 523)",75840,0.0,0.0
Fanta,"(0, 630), (174, 720)",15660,0.0,0.0
Bia_Truc_Bach,"(711, 204), (939, 521)",72276,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(705, 203), (935, 521)",73140,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(699, 201), (930, 517)",72996,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(695, 200), (920, 519)",71775,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(684, 198), (912, 520)",73416,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(678, 196), (904, 520)",73224,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(672, 197), (902, 519)",74060,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(667, 196), (898, 517)",74151,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(660, 193), (894, 517)",75816,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(650, 191), (886, 514)",76228,0.0,0.0
